jump,run_fire,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
0,1,32846926000,33,6628,75203,13365,88827,22207,9794,9053,6715,0
0,1,32956708500,-5,6628,75203,13365,88827,22207,9794,9053,6715,0
1,1,33066653900,-19,6628,75203,13365,88827,22207,9794,9053,6715,0
1,1,33177597600,42,6628,75203,13365,88827,22207,9794,9053,6715,0
1,1,33287110300,69,9212,14133,20739,21265,11656,24677,12538,9676,0
0,1,33396522700,35,9212,14133,20739,21265,11656,24677,12538,9676,0
0,1,33506562100,51,9212,14133,20739,21265,11656,24677,12538,9676,0
0,1,33614889900,119,9212,14133,20739,21265,11656,24677,12538,9676,0
0,1,33723191800,9,9212,14133,20739,21265,11656,24677,12538,9676,0
0,1,33831139200,141,9212,14133,20739,21265,11656,24677,12538,9676,0
0,1,33941716600,106,9212,14133,20739,21265,11656,24677,12538,9676,0
0,1,34053489800,42,9212,14133,20739,21265,11656,24677,12538,9676,0
0,1,34162823200,13,175855,142482,18285,12244,10493,7241,13478,9603,0
0,1,34272089200,92,175855,142482,18285,12244,10493,7241,13478,9603,0
0,0,34381926900,36,175855,142482,18285,12244,10493,7241,13478,9603,0
1,0,34491079400,17,175855,142482,18285,12244,10493,7241,13478,9603,0
1,0,34600194800,83,175855,142482,18285,12244,10493,7241,13478,9603,0
0,0,34709608300,-41,175855,142482,18285,12244,10493,7241,13478,9603,0
0,0,34820212600,40,175855,142482,18285,12244,10493,7241,13478,9603,0
0,0,34928401300,25,175855,142482,18285,12244,10493,7241,13478,9603,0
0,0,35039276800,1,175855,142482,18285,12244,10493,7241,13478,9603,0
0,0,35148475500,40,175855,142482,18285,12244,10493,7241,13478,9603,0
0,0,35258608200,56,17183,86900,15249,30879,7374,4727,6774,9432,0
0,0,35368331700,61,17183,86900,15249,30879,7374,4727,6774,9432,0
0,0,35476167300,-81,17183,86900,15249,30879,7374,4727,6774,9432,0
0,0,35584644700,-29,17183,86900,15249,30879,7374,4727,6774,9432,0
0,0,35691706200,49,17183,86900,15249,30879,7374,4727,6774,9432,0
1,0,35803000900,-332,17183,86900,15249,30879,7374,4727,6774,9432,0
1,0,35912420300,-116,17183,86900,15249,30879,7374,4727,6774,9432,0
0,0,36021852100,92,17183,86900,15249,30879,7374,4727,6774,9432,0
0,0,36132101500,132,17183,86900,15249,30879,7374,4727,6774,9432,0
0,0,36241248600,98,421706,172509,46421,44634,27333,15158,7188,6421,0
0,0,36351479600,23,421706,172509,46421,44634,27333,15158,7188,6421,0
0,0,36460036900,33,421706,172509,46421,44634,27333,15158,7188,6421,0
1,0,36570465500,23,421706,172509,46421,44634,27333,15158,7188,6421,0
1,0,36678727500,68,421706,172509,46421,44634,27333,15158,7188,6421,0
1,0,36788407000,68,421706,172509,46421,44634,27333,15158,7188,6421,0
0,0,36896174000,56,421706,172509,46421,44634,27333,15158,7188,6421,0
0,0,37005559400,28,421706,172509,46421,44634,27333,15158,7188,6421,0
0,0,37112946900,0,421706,172509,46421,44634,27333,15158,7188,6421,0
0,0,37222296600,36,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,37330521500,-12,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,37440329800,98,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,37551189100,36,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,37658945500,105,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,37771107200,93,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,37880276100,73,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,37991325300,68,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,38101183100,-26,68960,26359,10851,28132,3241,11436,5814,5172,0
0,0,38210167200,66,7503,35146,9079,96031,13179,6154,5905,4392,0
0,0,38321335000,43,7503,35146,9079,96031,13179,6154,5905,4392,0
